Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
 Italy,47106,48634,50198,51988,53662,55572,56452,56719,56714,57295,57785,59038,60749,61856,62403,62592,62623,62531,62319,61957,61416
 Ivory Coast,2861,3165,3577,4357,5580,7031,8594,10332,12491,14846,16885,18921,21059,23296,25504,27652,29724,31712,33610,35412,37112
 Jamaica,1385,1489,1632,1778,1944,2105,2229,2319,2348,2470,2616,2737,2848,2951,3052,3152,3246,3332,3411,3484,3555
 Japan,83806,89816,94092,98883,104345,111574,116808,120755,123538,125328,126776,127716,127580,126920,126138,123366,120752,117747,114449,110907,107210
 Jersey,57,60,63,67,70,73,76,80,84,85,88,89,94,98,102,105,107,108,108,108,108
 Jordan,562,689,853,1069,1516,1822,2190,2669,3321,4249,4786,5363,6501,8118,7690,8321,8989,9638,10263,10857,11412
 Kazakhstan,6694,7977,9983,11903,13107,14158,15000,15999,16776,16390,15688,16123,17085,18158,19092,19810,20379,20887,21401,21878,22238
 Kenya,6122,7034,8157,9550,11248,13434,16331,19763,23361,27164,30606,35247,40844,45926,49859,53197,56553,60244,64059,67608,70756
 Kiribati,34,37,41,45,49,54,58,63,72,77,86,93,100,106,112,118,124,129,133,137,140
 Kosovo,762,854,947,1079,1220,1370,1522,1683,1862,2029,1701,1768,1816,1871,1933,2000,2066,2123,2169,2203,2223
 Kuwait,145,187,293,477,748,1007,1370,1733,2132,1665,1973,2257,2544,2789,2994,3170,3331,3482,3624,3751,3864
 Kyrgyzstan,1739,1902,2172,2574,2964,3301,3632,4062,4484,4621,4938,5165,5411,5665,5965,6219,6432,6624,6803,6956,7064
 Laos,1886,2078,2310,2566,2845,3162,3294,3658,4211,4847,5398,5837,6369,6912,7448,7972,8473,8933,9349,9727,10069
 Latvia,1937,2003,2116,2254,2362,2462,2525,2607,2664,2481,2369,2259,2116,1987,1882,1773,1662,1553,1450,1349,1250
 Lebanon,1365,1561,1787,2058,2384,2693,2902,3177,3452,3673,3835,4139,4493,6185,5470,5397,5528,5624,5677,5674,5622
 Lesotho,727,787,859,953,1068,1196,1359,1552,1704,1848,1917,1923,1920,1948,1970,1971,1952,1927,1907,1905,1921
 Liberia,824,929,1055,1209,1397,1617,1858,2162,2139,1901,2601,2931,3686,4196,4728,5284,5862,6452,7043,7625,8193
 Liechtenstein,14,15,17,19,22,24,26,27,29,31,33,35,37,38,40,41,42,43,44,44,44
 Lithuania,2554,2615,2765,2960,3138,3306,3436,3588,3684,3510,3490,3327,3089,2885,2732,2574,2413,2253,2099,1949,1802
 Luxembourg,296,305,314,332,340,359,365,368,383,410,439,468,510,571,629,681,725,764,800,833,865
 Libya,962,1123,1338,1624,2000,2569,3061,3661,4099,4584,5025,5571,6111,6412,6943,7375,7773,8138,8466,8747,8971
 Macau,206,193,187,224,262,255,256,306,352,402,432,475,568,593,615,631,640,644,642,634,621
 North Macedonia,1225,1341,1367,1470,1575,1685,1793,1845,1862,1955,2015,2046,2073,2097,2113,2120,2114,2097,2069,2034,1991
 Madagascar,4621,5003,5482,6071,6766,7604,8692,10029,11633,13533,15713,18132,20847,23813,26956,30183,33418,36615,39759,42834,45808
 Malawi,2817,3089,3451,3915,4509,5318,6258,7321,9360,9809,11130,12864,15183,17965,21197,24958,29275,34155,39573,45478,51781
 Malaysia,6434,7312,8429,9648,10911,12131,13461,15650,17883,20340,23152,25969,28275,30514,32653,34684,36619,38448,40124,41620,42929
 Maldives,80,81,93,98,115,133,153,178,217,261,300,337,396,394,392,389,402,416,427,437,445
 Mali,3688,4072,4495,4978,5547,6218,6869,7623,8487,9489,10788,12528,14583,16956,19714,22534,25619,28805,32027,35238,38396
 Malta,312,315,329,320,326,328,365,348,360,377,390,399,407,414,420,422,420,416,410,403,396
 Marshall Islands,11,13,16,18,22,27,31,39,46,50,54,60,66,73,78,84,89,93,98,101,104
 Mauritania,1006,1054,1118,1196,1290,1405,1545,1724,1925,2235,2501,2838,3206,3597,4006,4426,4851,5280,5707,6128,6537
 Mauritius,482,572,664,756,830,886,964,1021,1062,1124,1186,1243,1295,1340,1380,1413,1437,1452,1457,1453,1442
 Mexico,28486,32930,38579,45143,52776,60679,68348,76601,84635,92584,99776,106577,114062,121737,128650,134829,140063,144287,147495,149612,150568
 Moldova,2337,2623,2999,3334,3595,3847,3997,4149,4375,4356,4181,3949,3732,3547,3365,3177,2985,2794,2609,2432,2262
 Monaco,19,19,21,23,24,26,27,29,30,31,32,32,31,31,31,32,33,33,33,32,30
 Mongolia,779,845,955,1091,1248,1446,1656,1860,2122,2307,2461,2603,2784,2993,3169,3302,3403,3490,3570,3633,3670
 Montenegro,396,432,462,492,515,550,561,561,584,671,733,700,667,648,640,636,629,621,610,596,578
 Montserrat,14,13,13,12,12,13,12,12,11,11,4,5,6,6,6,6,6,6,6,6,6
 Morocco,9344,10782,12424,14067,15910,17688,19488,21644,24000,26148,28114,29901,31628,33323,34956,39485,42887,45148,48267,52231,57027
 Mozambique,6251,6782,7473,8302,9305,10433,12103,13294,12990,15889,17997,20069,22418,25304,28604,32307,36622,41434,46746,52586,58999
 Myanmar,19488,21050,22840,24938,27393,30330,33337,36766,40464,43994,47439,50573,53415,56321,59126,61748,64103,66155,67928,69445,70674
 Namibia,464,522,591,671,765,916,1059,1205,1471,1682,1894,2029,2129,2213,2263,2284,2281,2258,2223,2185,2150
 Nauru,4,4,5,6,7,8,8,9,10,10,10,11,10,10,10,11,11,11,12,12,12
   Nepal,8990,9480,10035,10863,11919,13156,14666,16570,18919,21877,24819,27094,28952,31552,34209,36623,38886,40940,42777,44447,45985
 Netherlands,10121,10759,11494,12302,13043,13665,14156,14505,14966,15477,15931,16300,16574,16948,17281,17573,17797,17935,17982,17960,17907
 New Caledonia,56,65,79,91,113,134,140,153,169,192,212,233,253,272,291,308,324,338,351,362,371
 New Zealand,1909,2137,2372,2641,2829,3118,3171,3324,3414,3643,3803,4049,4253,4439,4715,4776,4914,5023,5106,5164,5199
 Nicaragua,1098,1278,1493,1751,2053,2395,2804,3181,3644,4402,4867,5268,5605,5908,6204,6494,6754,6957,7101,7192,7234
 Niger,3272,3560,3913,4344,4841,5420,6094,6870,7826,9111,10726,12783,15271,18046,21152,24619,28382,32319,36318,40298,44222
 Nigeria,31797,35955,41551,48068,55591,64428,74829,84898,96685,109753,123946,141190,160342,181563,204950,241581,285894,301935,322187,364465,402224
 North Korea,9472,8864,10448,11965,14062,16015,17391,18831,20452,22108,22785,23621,24326,24984,25644,26243,26689,26956,27074,27074,26970
